1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
"[(24, 38.0), (39, 35.0), (43, 33.0), (41, 32.0)]","[(42, 32.0), (24, 32.0), (30, 30.0), (29, 29.0)]","[(23, 41.0), (16, 41.0), (4, 40.0), (24, 36.0)]","[(3, 40.0), (38, 36.0), (20, 36.0), (45, 35.0)]","[(14, 37.0), (37, 34.0), (38, 33.0), (44, 32.0)]","[(25, 34.0), (40, 33.0), (37, 32.0), (11, 31.0)]","[(35, 35.0), (40, 34.0), (31, 34.0), (43, 32.0)]","[(40, 36.0), (14, 35.0), (39, 35.0), (44, 34.0)]","[(23, 31.0), (8, 31.0), (13, 28.0), (14, 28.0)]","[(13, 36.0), (40, 35.0), (44, 34.0), (42, 32.0)]","[(40, 37.0), (35, 31.0), (26, 31.0), (6, 31.0)]","[(30, 34.0), (33, 31.0), (39, 29.0), (19, 29.0)]","[(14, 44.0), (28, 43.0), (40, 39.0), (23, 38.0)]","[(13, 44.0), (42, 38.0), (5, 37.0), (37, 35.0)]","[(4, 31.0), (24, 29.0), (14, 29.0), (33, 28.0)]","[(24, 44.0), (30, 41.0), (3, 41.0), (42, 40.0)]","[(38, 34.0), (24, 32.0), (28, 30.0), (45, 30.0)]","[(42, 35.0), (40, 34.0), (14, 34.0), (20, 32.0)]","[(35, 38.0), (42, 35.0), (39, 31.0), (12, 29.0)]","[(4, 36.0), (16, 36.0), (42, 34.0), (30, 34.0)]","[(41, 31.0), (45, 31.0), (16, 30.0), (44, 29.0)]","[(23, 36.0), (13, 34.0), (26, 31.0), (28, 31.0)]","[(3, 41.0), (13, 38.0), (22, 36.0), (39, 34.0)]","[(16, 44.0), (43, 38.0), (1, 38.0), (36, 38.0)]","[(42, 34.0), (45, 34.0), (44, 34.0), (6, 34.0)]","[(40, 35.0), (14, 32.0), (22, 31.0), (30, 31.0)]","[(45, 38.0), (37, 32.0), (44, 31.0), (32, 29.0)]","[(13, 43.0), (39, 39.0), (42, 33.0), (30, 33.0)]","[(24, 37.0), (3, 34.0), (38, 33.0), (16, 32.0)]","[(16, 41.0), (42, 35.0), (40, 35.0), (43, 35.0)]","[(42, 34.0), (13, 34.0), (7, 34.0), (37, 32.0)]","[(42, 39.0), (45, 36.0), (30, 34.0), (24, 32.0)]","[(44, 40.0), (39, 35.0), (12, 31.0), (45, 31.0)]","[(42, 35.0), (23, 34.0), (4, 34.0), (20, 31.0)]","[(19, 38.0), (7, 35.0), (14, 35.0), (20, 32.0)]","[(24, 38.0), (45, 33.0), (16, 32.0), (14, 31.0)]","[(38, 37.0), (14, 35.0), (41, 35.0), (5, 34.0)]","[(37, 37.0), (41, 36.0), (4, 36.0), (30, 34.0)]","[(28, 39.0), (44, 39.0), (13, 37.0), (16, 37.0)]","[(42, 41.0), (13, 39.0), (11, 37.0), (8, 36.0)]","[(45, 37.0), (38, 36.0), (37, 35.0), (20, 33.0)]","[(40, 41.0), (16, 40.0), (32, 39.0), (14, 38.0)]","[(24, 38.0), (30, 35.0), (1, 33.0), (7, 32.0)]","[(33, 40.0), (39, 39.0), (40, 36.0), (13, 36.0)]","[(27, 38.0), (41, 37.0), (39, 36.0), (24, 36.0)]"
"(22.0, 40)","(23.0, 40)","(24.0, 40)","(26.0, 40)","(24.0, 40)","(23.0, 40)","(23.0, 40)","(24.0, 40)","(21.0, 40)","(24.0, 40)","(23.0, 40)","(21.0, 40)","(28.0, 40)","(27.0, 40)","(21.0, 40)","(27.0, 40)","(22.0, 40)","(23.0, 40)","(24.0, 40)","(27.0, 40)","(23.0, 40)","(22.0, 40)","(25.0, 40)","(28.0, 40)","(24.0, 40)","(23.0, 40)","(23.0, 40)","(25.0, 40)","(23.0, 40)","(26.0, 40)","(24.0, 40)","(25.0, 40)","(24.0, 40)","(25.0, 40)","(25.0, 40)","(24.0, 40)","(27.0, 40)","(25.0, 40)","(27.0, 40)","(27.0, 40)","(26.0, 40)","(28.0, 40)","(24.0, 40)","(27.0, 40)","(29.0, 40)"
157.0,158.0,170.0,179.0,168.0,160.0,162.0,168.0,144.0,167.0,158.0,147.0,193.0,188.0,147.0,188.0,154.0,160.0,166.0,182.0,156.0,155.0,172.0,189.0,168.0,157.0,158.0,173.0,161.0,179.0,167.0,171.0,166.0,170.0,172.0,166.0,181.0,173.0,183.0,184.0,177.0,192.0,165.0,187.0,194.0
