"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"25/07/18","1","23","26","27","31","39","16","41"
"18/07/18","9","13","21","23","28","45","19","27"
"11/07/18","1","13","23","27","34","40","9","41"
"04/07/18","4","11","12","14","30","44","13","21"
"27/06/18","2","5","10","22","24","28","32","42"
"20/06/18","3","21","29","31","37","39","19","30"
"13/06/18","13","27","28","31","32","39","4","10"
"06/06/18","8","19","21","35","36","37","2","15"
"30/05/18","12","14","20","22","36","41","5","43"
"23/05/18","9","13","23","28","29","39","26","40"
"16/05/18","6","11","16","25","32","41","17","21"
"09/05/18","2","3","16","18","33","42","14","26"
"02/05/18","4","14","15","16","29","30","20","35"
"25/04/18","4","7","23","28","36","41","24","29"
"18/04/18","3","4","11","36","41","45","7","43"
"11/04/18","5","24","27","33","37","41","1","39"
"04/04/18","12","19","23","29","37","38","27","34"
"28/03/18","4","18","24","29","31","34","3","16"
"21/03/18","5","23","32","34","41","44","37","39"
"14/03/18","4","9","17","31","34","36","5","15"
"07/03/18","1","2","9","19","43","45","6","27"
"28/02/18","2","28","31","32","37","38","34","39"
"21/02/18","5","12","19","21","38","45","30","41"
"14/02/18","10","27","37","39","43","45","18","21"
"07/02/18","6","14","20","31","32","37","8","26"
"31/01/18","14","16","29","35","37","38","24","40"
"24/01/18","4","7","27","33","36","45","37","44"
"17/01/18","6","21","27","28","32","42","22","45"
"10/01/18","16","20","23","28","29","30","26","37"
"03/01/18","2","20","28","29","32","41","1","12"
"27/12/17","2","9","12","19","41","45","14","29"
"20/12/17","12","14","19","27","39","40","30","44"
"13/12/17","6","9","13","15","16","41","7","20"
"06/12/17","8","13","14","34","36","43","30","37"
"29/11/17","13","15","33","35","36","44","5","14"
"22/11/17","10","11","20","24","27","36","9","41"
"15/11/17","10","14","17","20","28","37","21","27"
"08/11/17","3","6","11","23","34","38","5","30"
"01/11/17","2","18","22","23","27","45","3","34"
"25/10/17","10","14","22","24","28","43","32","35"
"18/10/17","10","16","17","34","35","41","33","45"
"11/10/17","12","17","23","26","34","35","3","33"
"04/10/17","13","17","18","23","32","42","4","16"
"27/09/17","5","26","28","33","34","37","25","40"
"20/09/17","5","13","17","24","26","37","28","40"
"13/09/17","3","9","20","21","41","45","12","28"
"06/09/17","13","16","23","30","36","45","12","21"
"30/08/17","21","23","25","34","35","42","27","32"
"23/08/17","10","11","17","19","37","40","30","31"
"16/08/17","5","10","21","34","35","43","12","36"
"09/08/17","4","7","14","26","27","45","2","34"
"02/08/17","8","9","17","25","28","45","13","31"
"26/07/17","4","5","8","19","34","37","15","44"
"19/07/17","1","8","32","33","40","43","35","45"
"12/07/17","11","17","22","23","24","34","15","29"
"05/07/17","3","11","18","24","32","36","7","14"
"28/06/17","6","27","30","32","34","38","4","5"
"21/06/17","16","28","30","35","38","40","10","11"
"14/06/17","22","25","30","39","44","45","31","43"
"07/06/17","2","6","11","17","27","29","3","23"
"31/05/17","6","16","19","25","32","42","3","12"
"24/05/17","2","11","19","32","36","42","10","21"
"17/05/17","5","11","18","25","27","30","19","21"
"10/05/17","4","14","17","29","38","39","9","24"
"03/05/17","4","11","16","19","35","38","1","39"
"26/04/17","3","5","10","19","21","40","9","32"
"19/04/17","1","5","7","22","27","31","33","45"
"12/04/17","5","8","9","10","22","44","24","33"
"05/04/17","4","6","11","24","28","43","38","44"
"29/03/17","12","20","27","32","37","38","41","43"
"22/03/17","6","11","18","22","23","35","27","37"
"15/03/17","3","5","33","34","38","39","17","45"
"08/03/17","2","8","25","30","34","43","1","44"
"01/03/17","5","9","13","38","41","42","15","28"
"22/02/17","10","26","30","42","43","44","13","14"
"15/02/17","3","6","26","30","39","43","35","36"
"08/02/17","8","10","12","19","31","35","30","32"
"01/02/17","6","17","21","25","29","31","1","3"
"25/01/17","8","16","19","22","37","43","5","31"
"18/01/17","12","24","29","32","36","39","16","38"
"11/01/17","1","12","21","27","44","45","16","38"
"04/01/17","7","15","19","26","28","34","12","22"
"28/12/16","1","4","6","10","16","20","34","36"
"21/12/16","3","14","17","27","32","33","25","44"
"14/12/16","1","9","19","28","29","41","10","38"
"07/12/16","5","10","16","29","34","42","2","32"
"30/11/16","6","7","16","25","33","40","9","15"
"23/11/16","6","15","30","32","37","40","13","18"
"16/11/16","3","4","7","35","43","44","8","25"
"09/11/16","3","4","7","19","22","38","15","20"
"02/11/16","3","5","6","7","23","31","9","22"
"26/10/16","7","10","16","20","24","42","25","35"
"19/10/16","8","12","23","30","33","44","9","35"
"12/10/16","10","21","22","23","32","34","7","36"
"05/10/16","2","10","21","37","39","40","8","30"
"28/09/16","4","5","30","39","40","45","1","43"
"21/09/16","3","4","10","29","30","42","7","38"
"14/09/16","4","18","20","24","35","36","15","34"
"07/09/16","7","10","34","41","43","45","28","29"
"31/08/16","10","17","25","32","43","44","13","28"
"24/08/16","9","19","31","36","37","42","27","35"
"17/08/16","23","27","37","38","41","42","34","40"
"10/08/16","2","12","17","25","27","43","29","42"
"03/08/16","12","15","23","29","34","42","3","31"
